"player","pos","exp","num","hgt","team","conf","g","min","mpg","ppg","oreb","dreb","rpg","apg","tov","ast_to","spg","bpg","usg","ortg","efg","ts","year","id","fgm","ftm","fta","ft_pct","two_m","two_a","two_pct","three_m","three_a","three_pct","dunk_m","dunk_a","dunk_pct","rim_m","rim_a","rim_pct","mid_m","mid_a","mid_pct","porpag","dporpag","adj_oe","drtg","adj_de","stops","obpm","dbpm","bpm","oreb_rate","dreb_rate","ast","to","blk","stl","ftr","pfr","rec","pick","fga","fg_pct"
"RJ Smith","Combo G","So",5,"6-3","Colorado","B12",34,52.4,21.7412,6.1765,0.1471,2.3235,2.4706,1.7353,1.23529998006777,1.40476,0.7059,0.3529,15.2,103.7,56.1,57.55,2025,76553,77,17,22,0.773,38,71,0.535,39,101,0.386,1,1,1,29,53,0.5472,9,18,0.5,1.02104,2.38609,103.413,106.449,99.9185,123.386,0.0354984,1.98178,2.01728,0.8,12.1,16,21.9,1.9,1.9,12.8,3.3,39.2,NA,172,0.447674418604651
"Logan Woods","Combo G","So",21,"6-5","Wright St.","Horz",30,54.8,23.0531,6.875,0.5312,1.5312,2.0625,1.7812,0.937499973683472,1.89994672,0.5625,0.1875,14.2,116.5,58.8,60.22,2025,76555,72,14,17,0.824,36,74,0.486,36,79,0.456,0,0,NA,19,39,0.4872,17,35,0.4857,1.13822,1.1777,104.255,115.564,116.801,98.5151,-0.43843,-1.29316,-1.73159,2.7,7.8,12.4,16.8,0.9,1.4,11.1,3.9,NA,NA,153,0.470588235294118
"Stephon Payne III","C","Jr",0,"6-9","Jacksonville","ASun",26,44.1,21.1107,8.3571,2.75,3.5357,6.2857,0.7143,1.46430007512148,0.48780985,1.1071,0.8929,20.7,106.5,53.3,55.69,2025,76558,80,42,66,0.636,80,150,0.533,0,0,0,18,21,0.8571,64,110,0.5818,16,40,0.4,1.05323,2.31438,104.228,100.083,100.029,118.122,-0.982403,0.830007,-0.152395,14.3,18.9,6.8,20.2,4.8,3.1,44,4,NA,NA,150,0.533333333333333
"Treysen Eaglestaff","Combo G","Jr",52,"6-6","North Dakota","Sum",30,82.1,31.8,18.8788,0.5152,2.2727,2.7879,2.3939,2.24240000253287,1.06756154,1.0606,0.1515,27.4,107.9,49.7,54.07,2025,76559,185,117,150,0.78,104,233,0.446,81,221,0.367,7,8,0.875,73,143,0.5105,31,90,0.3444,2.95727,1.65114,115.72,118.977,117.296,149.511,2.55077,-2.41286,0.137912,1.5,8.6,15.4,15,0.6,1.8,33,2.2,NA,NA,454,0.407488986784141
"Robert Lewis","PF/C","Jr",22,"6-9","Arkansas Pine Bluff","SWAC",5,11.4,26.6333,7.1667,1.3333,5,6.3333,1,1.16670001095298,0.85711836,0.8333,1.1667,13.6,94.7,51.9,51.06,2025,76560,13,2,5,0.4,11,16,0.688,2,11,0.182,1,2,0.5,6,8,0.75,5,8,0.625,-0.112218,1.63882,88.5588,117.451,113.957,23.3635,-1.86821,-3.0514,-4.91961,5.8,17.2,8.3,21.3,5.4,0.8,18.5,2.7,NA,NA,27,0.481481481481481
"Drey Carter","Wing F","So",2,"6-8","Wright St.","Horz",22,13.8,8.3917,2.6667,0.375,0.8333,1.2083,0.375,0.5,0.75,0.0833,0.1667,16.9,99.7,52.6,53.13,2025,76561,20,7,13,0.538,19,31,0.613,1,8,0.125,4,4,1,15,23,0.6522,4,8,0.5,0.0964427,0.402429,93.3156,115.431,117.023,24.9244,-3.09991,-2.93849,-6.0384,5.8,11.4,8.9,20.1,1.9,0.7,33.3,4.2,NA,NA,39,0.512820512820513
"Caden Powell","C","Jr",44,"6-10","Rice","Amer",31,61,24.3437,10.4062,3.0625,4.1562,7.2188,0.8125,1.06250000326923,0.76470588,0.5,1.0312,21.4,119.8,56.1,58.93,2025,76562,119,88,136,0.647,119,211,0.564,0,1,0,17,19,0.8947,85,141,0.6028,34,70,0.4857,2.65858,2.32668,121.192,102.819,104.288,147.944,2.53705,0.320393,2.85744,13.8,18.4,8,11.8,4.6,1.3,64.2,5.3,42.4,NA,212,0.561320754716981
"Wisler Sanon","Wing G","Jr",23,"6-4","Saint Francis","NEC",14,9.8,8.8143,1.8571,0.5,1.4286,1.9286,0.7143,0.7143,1,0.5,0,18,87.7,39.6,45.98,2025,76565,9,7,9,0.778,8,17,0.471,1,7,0.143,0,0,NA,7,11,0.6364,1,6,0.1667,-0.239827,0.56748,81.728,103.106,112.728,25.8713,-7.49215,1.06663,-6.42552,7,19,14.9,27.1,0,3.4,37.5,7.5,NA,NA,24,0.375
"Will Berg","C","So",44,"7-2","Purdue","B10",22,9.4,6.1227,1.8182,0.4091,0.9091,1.3182,0.3182,0.409100004033145,0.77780493,0.0909,0.2273,15,116.7,84.2,75.19,2025,76567,16,8,16,0.5,16,19,0.842,0,0,0,5,5,1,12,15,0.8,4,4,1,0.581514,0.738838,117.15,105.233,97.0035,24.3851,-1.27344,3.85547,2.58204,8.7,18.1,9.2,26.8,4.6,0.9,84.2,8.3,NA,NA,19,0.842105263157895
"Jonah Lucas","Scoring PG","Jr",41,"6-1","Marquette","BE",5,0.5,1.44,0,0,0.2,0.2,0,NA,0,0.2,0,11.1,0,0,0,2025,76570,0,0,0,0,0,1,0,0,1,0,0,0,NA,0,0,NA,0,1,0,-0.455286,0.195572,-1.33627,87.8477,92.6397,2.02675,-16.5008,4.26249,-12.2383,0,16.7,0,0,0,8.2,0,5.6,NA,NA,2,0
"Justyn Fernandez","Wing G","So",4,"6-5","Providence","BE",24,18.9,10.1083,3.625,0.625,0.75,1.375,0.375,0.4582999925181,0.81824134,0.25,0.1667,18.2,111.2,53.2,54.48,2025,76571,31,5,6,0.833,11,25,0.44,20,52,0.385,0,0,NA,6,12,0.5,5,13,0.3846,0.800154,0.895979,112.71,111.146,106.102,36.2137,2.63732,-0.300076,2.33725,7.3,8.2,7.4,15,1.8,1.5,7.8,2.8,NA,NA,77,0.402597402597403
