,player,pos_grouped,fr,VORP,VORP/Gm,VORP/Yr,power_conf,picktier,ppg_pct,rpg_pct,apg_pct,spg_pct,bpg_pct,tov_pct,usg_pct,ortg_pct,efg_pct,ts_pct,obpm_pct,dbpm_pct,bpm_pct,porpag_pct,dporpag_pct,adj_oe_pct,drtg_pct,adj_de_pct,HGT_pct,WGT_pct,BMI_pct,BF_pct,WNGSPN_pct,STNDRCH_pct,HANDL_pct,HANDW_pct,STNDVERT_pct,LPVERT_pct,LANE_pct,SHUTTLE_pct,SPRINT_pct,BENCH_pct,PAN_pct,PBHGT_pct,PDHGT_pct
120,tyler honeycutt,wing,1,-0.1,-0.004166666667,-0.05,1,4,27.659574468085108,93.88297872340425,92.02127659574468,93.08510638297872,98.40425531914893,88.29787234042553,32.4468085106383,18.617021276595743,69.9468085106383,55.053191489361694,45.21276595744681,91.48936170212765,68.61702127659575,33.51063829787234,70.74468085106383,18.085106382978726,32.4468085106383,27.659574468085108,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
121,tyler honeycutt,stretch,0,-0.1,-0.004166666667,-0.05,1,4,50.0,56.00000000000001,88.0,56.00000000000001,96.0,98.0,38.0,10.0,18.0,18.0,30.0,76.0,42.0,20.0,86.0,10.0,42.0,38.0,36.666666666666664,6.666666666666667,6.666666666666667,24.0,13.333333333333334,43.333333333333336,20.0,41.66666666666667,66.66666666666666,83.33333333333334,81.25,60.0,16.666666666666664,59.375,28.333333333333332,66.66666666666666,81.25
122,jerome jordan,big,0,0.1,0.001538461538,0.05,0,4,76.23762376237624,71.78217821782178,61.386138613861384,18.316831683168317,83.9108910891089,82.17821782178217,73.76237623762376,46.03960396039604,50.24752475247525,61.386138613861384,57.920792079207914,57.920792079207914,55.940594059405946,67.32673267326733,62.37623762376238,57.42574257425742,41.089108910891085,53.960396039603964,95.34883720930233,70.93023255813954,35.65891472868217,42.4,90.31007751937985,96.89922480620154,42.248062015503876,76.35658914728683,55.44554455445545,47.524752475247524,50.0,50.0,50.25,49.66216216216216,69.76744186046511,50.495049504950494,48.51485148514851
123,darington hobson,wing,0,-0.1,-0.02,-0.1,0,4,63.57388316151202,99.3127147766323,98.28178694158075,73.3676975945017,44.50171821305842,94.84536082474226,87.11340206185567,24.742268041237114,14.261168384879724,11.683848797250858,70.44673539518901,59.450171821305844,72.85223367697594,57.388316151202744,72.16494845360825,43.6426116838488,25.773195876288657,36.42611683848797,56.024096385542165,37.27272727272727,37.878787878787875,54.82758620689655,35.24096385542169,78.3132530120482,17.46987951807229,36.44578313253012,27.985074626865668,12.222222222222221,90.9090909090909,51.30208333333333,58.95522388059702,50.0,21.987951807228914,56.343283582089555,33.7037037037037
124,jordan hamilton,wing,1,1,0.006622516556,0.2,1,3,49.202127659574465,40.95744680851064,55.58510638297872,47.340425531914896,50.797872340425535,47.340425531914896,75.79787234042553,52.659574468085104,50.53191489361703,26.063829787234045,90.95744680851064,45.744680851063826,83.51063829787235,48.40425531914894,32.4468085106383,64.8936170212766,20.212765957446805,21.27659574468085,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
125,jordan hamilton,stretch,0,1,0.006622516556,0.2,1,3,84.0,69.0,80.0,54.0,40.0,70.0,79.0,57.99999999999999,46.0,40.0,92.0,62.0,88.0,82.0,90.0,76.0,12.0,14.000000000000002,36.666666666666664,56.666666666666664,73.33333333333333,84.0,25.0,23.333333333333332,61.66666666666667,25.0,8.333333333333332,20.833333333333336,62.5,60.0,75.0,37.5,40.0,4.166666666666666,14.583333333333334
126,solomon hill,wing,1,-0.3,-0.0006696428571,-0.03333333333,1,3,24.46808510638298,54.78723404255319,66.22340425531915,29.78723404255319,11.170212765957446,77.12765957446808,24.20212765957447,17.819148936170212,46.27659574468085,55.053191489361694,12.23404255319149,22.340425531914892,9.042553191489363,23.404255319148938,28.191489361702125,14.893617021276595,88.82978723404256,78.72340425531915,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
127,solomon hill,wing,0,-0.3,-0.0006696428571,-0.03333333333,1,3,8.762886597938143,37.11340206185567,35.9106529209622,29.037800687285227,8.934707903780069,40.549828178694156,15.292096219931272,44.67353951890035,47.07903780068728,60.48109965635739,19.243986254295535,46.391752577319586,18.556701030927837,16.151202749140893,10.652920962199312,20.274914089347078,63.91752577319587,63.57388316151202,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
128,solomon hill,wing,0,-0.3,-0.0006696428571,-0.03333333333,1,3,38.659793814432994,92.78350515463917,73.53951890034365,48.10996563573883,55.84192439862543,82.4742268041237,50.0,44.67353951890035,72.85223367697594,75.60137457044674,38.48797250859107,63.91752577319587,45.70446735395189,40.549828178694156,73.19587628865979,34.02061855670103,13.058419243986256,21.649484536082475,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
129,solomon hill,wing,0,-0.3,-0.0006696428571,-0.03333333333,1,3,42.2680412371134,53.264604810996566,76.80412371134021,60.30927835051546,63.57388316151202,72.16494845360825,39.51890034364261,57.56013745704467,60.65292096219931,60.824742268041234,68.04123711340206,57.0446735395189,67.69759450171821,67.0103092783505,62.54295532646048,53.95189003436426,35.738831615120276,36.08247422680412,61.44578313253012,81.81818181818183,83.03030303030303,78.62068965517241,29.819277108433734,51.50602409638554,82.53012048192771,96.98795180722891,34.701492537313435,58.51851851851851,21.21212121212121,20.3125,39.55223880597015,77.63157894736842,97.28915662650603,39.92537313432835,61.85185185185185
130,john jenkins,g,1,0.1,0.0005847953216,0.01666666667,1,3,42.22222222222222,15.555555555555555,4.444444444444445,2.2222222222222223,37.77777777777778,5.555555555555555,11.11111111111111,96.66666666666667,97.77777777777777,97.77777777777777,96.66666666666667,26.666666666666668,92.22222222222223,68.88888888888889,14.444444444444443,92.22222222222223,78.88888888888889,72.22222222222221,53.07692307692308,50.76923076923077,51.041666666666664,50.0,52.083333333333336,51.53846153846153,61.458333333333336,48.4375,52.4390243902439,49.390243902439025,51.09995217599234,51.85185185185185,51.21951219512195,52.083333333333336,50.0,52.4390243902439,51.21951219512195
131,john jenkins,wing,0,0.1,0.0005847953216,0.01666666667,1,3,92.9553264604811,5.498281786941581,14.604810996563575,20.962199312714777,28.865979381443296,36.42611683848797,51.890034364261176,94.3298969072165,84.87972508591065,93.47079037800687,93.12714776632302,6.185567010309279,77.31958762886599,93.81443298969072,28.52233676975945,91.40893470790378,90.72164948453609,89.69072164948454,50.30120481927711,50.60606060606061,51.21212121212121,51.37931034482759,50.903614457831324,51.50602409638554,59.93975903614458,53.6144578313253,48.134328358208954,47.03703703703704,50.18939393939394,51.30208333333333,50.0,50.0,48.493975903614455,48.134328358208954,48.148148148148145
132,john jenkins,g,0,0.1,0.0005847953216,0.01666666667,1,3,86.98224852071006,22.189349112426036,0.591715976331361,7.396449704142012,63.01775147928994,12.42603550295858,39.053254437869825,95.85798816568047,98.22485207100591,98.81656804733728,98.81656804733728,28.402366863905325,97.63313609467455,92.89940828402366,33.72781065088758,94.0828402366864,72.18934911242604,61.53846153846154,62.5,91.66666666666666,87.5,66.30434782608695,72.91666666666666,36.45833333333333,95.83333333333334,36.45833333333333,52.4390243902439,47.5609756097561,80.48780487804879,51.85185185185185,97.5609756097561,72.91666666666666,76.04166666666666,36.58536585365854,30.48780487804878
133,elliot williams,g,0,-1.1,-0.01009174312,-0.275,0,3,69.23076923076923,58.57988165680473,46.74556213017752,41.71597633136095,18.639053254437872,83.4319526627219,79.58579881656804,49.112426035502956,60.650887573964496,76.33136094674556,67.45562130177515,10.059171597633137,36.68639053254438,61.53846153846154,29.585798816568047,56.213017751479285,52.071005917159766,68.63905325443787,53.07692307692308,50.76923076923077,51.041666666666664,50.0,52.083333333333336,51.53846153846153,61.458333333333336,48.4375,52.4390243902439,49.390243902439025,51.09995217599234,51.85185185185185,51.21951219512195,52.083333333333336,50.0,52.4390243902439,51.21951219512195
